funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
traincgf,28,0.0550694444444444,130.1,16.1,19.8,10.7,37,320.3,17.8,11.8,6636.4,1.965625
traincgf,29,0.0515,130.3,14.4,21.3,8.4,61.8,297.8,15.7,13.2,6637.1,2.2640625
traincgf,30,0.0563055555555556,129,14.8,22.2,6.4,27.4,334.2,17.1,10.7,6638.2,1.771875
traincgf,31,0.0517361111111111,130.7,16,19.3,9.8,59.2,299,16.5,11.9,6637.6,2.403125
traincgf,32,0.0530416666666667,129.4,15.9,20.7,9.2,51.4,307.4,16,12.7,6637.3,2.2828125
traincgf,33,0.0527916666666667,130.6,14.3,21.1,7.6,50.7,309.7,17.2,10.2,6638.6,2.2296875
traincgf,34,0.0525,131.6,17.3,17.1,6.8,58.8,302.4,18.1,16.3,6631.6,2.4578125
traincgf,35,0.0485138888888889,128.4,18.5,19.1,6.8,87.9,273.3,14.7,16.9,6634.4,2.9375
traincgf,36,0.0510833333333333,134.3,10.6,21.1,9.9,62,296.1,20.5,9.6,6635.9,2.65625
traincgf,37,0.054625,129.3,16.1,20.6,7.6,39.4,321,17.2,10.8,6638,2.3890625
traincgf,38,0.0502361111111111,129.8,17,19.2,7.5,77.7,282.8,17.1,18.1,6630.8,2.8078125
traincgf,39,0.0449722222222222,132,16.9,17.1,8.7,111.7,247.6,15.1,18.4,6632.5,3.553125
traincgf,40,0.050875,130,17.1,18.9,6.9,67.4,293.7,16.9,12.8,6636.3,2.8046875
